ID,FK category,FK company name,FK job type,FK location,FK time,FK job title,count
132,15,10836,1,636,154,5764,1
133,15,10836,1,703,154,3902,1
134,19,9500,1,2717,154,669,1
135,18,11862,1,763,154,3473,1
136,14,9698,3,2756,154,8325,1
137,5,10430,1,1186,154,3013,1
138,5,12140,1,2559,154,9083,1
139,5,12221,1,1842,154,9384,1
140,9,9884,1,2559,154,10274,1
141,9,9831,1,1979,154,10376,1
142,9,9831,1,2745,154,10422,1
143,9,9780,1,2175,154,10507,1
144,9,9831,1,1979,154,10653,1
145,9,12382,1,642,154,10662,1
146,9,9655,3,2405,154,10785,1
147,9,9831,1,2745,154,10979,1
148,23,12641,1,2537,154,2453,1
149,23,12748,1,1696,154,11800,1
150,23,12748,1,1011,154,11888,1
151,24,9557,1,2208,154,12400,1
152,36,9214,1,1942,154,188,1
153,20,9201,1,516,154,13643,1
154,12,12507,1,551,154,15238,1
155,15,11119,1,1059,154,15963,1
156,6,13457,1,182,154,16457,1
157,6,13465,3,512,154,16545,1
158,6,10983,3,2411,154,3635,1
159,18,11932,1,742,154,3441,1
160,10,11632,1,2793,154,18784,1
161,8,13890,1,1984,154,20675,1
162,32,9416,1,2517,154,489,1
163,33,9393,1,1735,154,12290,1
164,33,9695,3,1764,154,10248,1
165,33,9695,3,1174,154,10185,1
166,33,9695,3,2202,154,10248,1
167,24,9557,1,2208,154,12400,1
168,23,9078,1,2397,154,22407,1
169,31,9100,1,2097,155,9,1
170,19,10209,1,2302,155,2346,1
171,19,10318,1,739,155,138,1
172,6,10715,1,555,155,3620,1
173,6,10766,1,709,155,3719,1
174,6,10669,1,2458,155,3840,1
175,6,10875,1,1209,155,3635,1
176,6,10897,1,1036,155,4051,1
177,6,10787,3,1458,155,225,1
178,6,9207,1,991,155,180,1
179,6,11283,1,2583,155,5299,1
180,6,9426,1,1968,155,4092,1
181,6,11362,2,1616,155,5618,1
182,7,11379,1,1803,155,48,1
183,19,11421,1,1764,155,6026,1
184,16,11603,1,2084,155,1297,1
185,16,11603,1,2084,155,2284,1
186,18,9793,3,1696,155,8041,1
187,18,11027,1,518,155,945,1
188,8,12229,1,1696,155,8743,1
189,32,11168,3,1450,155,10344,1
190,23,9343,1,987,155,11023,1
191,23,10687,1,1696,155,11825,1
192,23,12323,1,2720,155,12045,1
193,1,12681,1,2031,155,12051,1
194,23,12794,1,2405,155,12190,1
195,23,12670,1,1696,155,12202,1
196,23,12647,1,354,155,12251,1
197,30,12914,1,2583,155,13364,1
198,19,12485,1,2167,155,13733,1
199,26,9205,1,1970,155,717,1
200,19,12485,1,555,155,13241,1
201,12,12795,1,2167,155,850,1
202,31,9233,1,1968,155,15641,1
203,12,10583,1,1781,155,15763,1
204,22,10292,1,676,155,16205,1
205,6,10787,3,1458,155,225,1
206,6,9426,1,1968,155,4092,1
207,6,10875,1,1209,155,3635,1
208,6,11283,1,2583,155,5299,1
209,6,10766,1,709,155,3719,1
210,6,11362,2,1616,155,5618,1
211,6,9207,1,991,155,180,1
212,15,11269,1,2906,155,16609,1
213,6,10715,1,555,155,3620,1
214,6,10897,1,1036,155,4051,1
215,7,13525,1,2779,155,16906,1
216,4,13542,1,772,155,4771,1
217,4,9084,1,1305,155,17772,1
218,18,10346,1,1891,155,3768,1
219,4,10785,1,2537,155,18711,1
220,16,13840,1,1264,155,11,1
221,16,13851,1,1296,155,6913,1
222,18,10656,1,2433,155,19944,1
223,5,11464,1,1696,155,20050,1
224,33,14087,1,2847,155,7060,1
225,6,14149,3,551,155,21757,1
226,6,12546,3,1626,155,10790,1
227,36,12514,1,711,155,14741,1
228,6,12546,3,1764,155,10790,1
229,6,12846,1,2379,155,22442,1
230,6,12846,3,1764,155,798,1
231,23,9646,1,1352,156,884,1
232,6,10681,1,286,156,3553,1
233,18,10672,1,1842,156,3831,1
234,18,10672,1,1244,156,4949,1
235,6,11187,3,1871,156,4961,1
236,6,10623,1,1764,156,3635,1
237,18,10672,1,1244,156,3831,1
238,18,10672,1,950,156,4193,1
239,6,11393,1,997,156,5751,1
240,8,12103,1,1696,156,8966,1
241,9,9305,1,1626,156,10302,1
242,9,12484,1,991,156,10550,1
243,9,12507,1,551,156,10637,1
244,32,12512,1,504,156,10648,1
245,9,12575,1,742,156,10962,1
246,9,9530,1,1059,156,10262,1
247,23,12675,1,742,156,12101,1
248,1,12390,1,2592,156,12317,1
249,4,10114,1,2531,156,12051,1
250,27,12878,1,742,156,13553,1
251,20,12927,1,2875,156,262,1
252,4,9321,3,651,156,14035,1
253,19,10502,1,2379,156,1192,1
254,27,11080,1,534,156,14255,1
255,20,9514,1,2531,156,1047,1
256,20,9514,1,1489,156,15078,1
257,12,10513,3,626,156,15303,1
258,23,12917,1,2465,156,114,1
259,12,13372,1,1735,156,2914,1
260,6,10681,1,286,156,3553,1
261,6,11173,1,991,156,16439,1
262,6,9251,1,2297,156,1363,1
263,6,10766,1,1963,156,16497,1
264,6,11393,1,997,156,5751,1
265,6,10831,1,1672,156,3691,1
266,6,10733,1,1730,156,3635,1
267,6,10623,1,1764,156,3635,1
268,6,13294,1,1275,156,16724,1
269,6,12525,1,1578,156,2493,1
270,6,10877,1,1696,156,16745,1
271,6,10473,1,1911,156,3635,1
272,15,9588,1,429,156,3583,1
273,6,13294,1,1682,156,17199,1
274,10,9514,1,1942,156,17695,1
275,18,11915,1,2358,156,3493,1
276,8,12392,1,2365,156,20540,1
277,33,11978,1,2793,156,21246,1
278,33,14073,1,1245,156,21262,1
279,9,9378,1,2903,156,4671,1
280,32,9544,3,1116,156,10440,1
281,33,14104,1,676,156,21443,1
282,32,12512,1,504,156,10648,1
283,33,9695,3,2439,156,10248,1
284,6,12630,2,1159,156,21602,1
285,23,12641,1,1696,157,12470,1
286,23,12641,1,1696,157,12529,1
287,15,13497,1,683,157,4134,1
288,5,12131,1,676,157,20093,1
289,5,12131,1,1518,157,11378,1
290,36,11578,1,742,157,21891,1
291,23,12641,1,1696,157,12470,1
292,23,11870,3,609,158,22231,1
293,12,9843,1,1672,159,3045,1
294,15,10842,1,813,159,3911,1
295,4,9084,1,2602,159,4526,1
296,18,10672,1,1696,159,3519,1
297,15,10842,1,429,159,4850,1
298,15,10842,1,429,159,4711,1
299,15,11331,1,1777,159,798,1
300,18,11321,1,741,159,3483,1
301,32,12549,1,2290,159,4069,1
302,1,9747,1,2232,159,11175,1
303,27,12878,1,573,159,12699,1
304,27,12878,1,701,159,8200,1
305,30,11556,1,2378,159,14175,1
306,12,12507,1,853,159,15238,1
307,22,9719,1,1696,159,993,1
308,13,13445,1,742,159,16406,1
309,6,10669,1,1129,159,300,1
310,5,11111,1,613,159,20001,1
311,32,12549,1,2290,159,4069,1
312,33,9695,3,2127,159,10185,1
313,9,12453,1,2902,159,21414,1
314,33,9695,3,751,159,10185,1
315,33,9695,3,2753,159,10185,1
316,34,14117,1,1768,159,21503,1
317,33,9695,3,165,159,10185,1
318,9,13869,1,2793,159,6905,1
319,33,9695,3,922,159,10182,1
320,23,10107,3,853,159,8045,1
321,23,10290,1,676,159,156,1
322,1,14160,1,1011,159,1738,1
323,24,9741,1,966,159,3441,1
324,15,12892,1,1696,159,22152,1
325,13,9154,1,2397,160,1003,1
326,23,9847,3,795,160,2302,1
327,4,10310,1,202,160,1573,1
328,13,9205,1,927,160,1500,1
329,18,10672,1,2127,160,3480,1
330,18,10672,1,636,160,3519,1
331,18,10672,1,1928,160,3951,1
332,6,11036,1,516,160,3446,1
333,18,10672,1,1597,160,4079,1
334,18,10672,1,1928,160,4606,1
335,5,9290,1,1296,160,9281,1
336,32,10836,2,2866,160,10543,1
337,19,9581,1,462,160,138,1
338,26,13060,1,1696,160,13724,1
339,36,9646,1,2539,160,11421,1
340,19,9132,1,784,160,6187,1
341,26,13115,1,639,160,12688,1
342,20,9604,1,568,160,815,1
343,19,10209,1,422,160,14960,1
344,26,9205,1,1970,160,15114,1
345,26,12074,1,772,160,15116,1
346,26,13060,1,1696,160,3191,1
347,15,10659,1,1696,160,16290,1
348,6,11648,1,1696,160,11108,1
349,6,10696,3,922,160,16430,1
350,6,9495,1,2761,160,3774,1
351,15,10836,1,742,160,5577,1
352,6,10994,1,2378,160,16531,1
353,6,13470,1,2559,160,3535,1
354,6,13476,3,2274,160,16596,1
355,6,10430,1,1186,160,16600,1
356,6,12991,1,2481,160,4014,1
357,6,9528,3,633,160,16664,1
358,6,9763,1,1443,160,16707,1
359,6,13503,1,2439,160,16773,1
360,6,13509,1,2232,160,16824,1
361,6,10723,1,724,160,16847,1
362,6,13509,1,2929,160,16824,1
363,6,13509,1,429,160,16824,1
364,16,13853,1,1965,160,11319,1
365,8,10010,1,1791,160,1054,1
366,23,10903,1,611,160,21642,1
367,15,10830,1,1982,160,22409,1
368,1,9096,1,1696,161,1476,1
369,23,9109,1,1277,161,835,1
370,23,9109,1,1277,161,114,1
371,12,9859,1,2484,161,1364,1
372,9,9099,1,2944,161,10224,1
373,9,9099,1,656,161,10224,1
374,9,12449,1,2174,161,8564,1
375,9,9099,1,711,161,10224,1
376,9,9530,1,1764,161,10678,1
377,9,9378,1,2751,161,8202,1
378,9,9099,1,1597,161,10224,1
379,23,12612,1,2167,161,8065,1
380,23,12612,1,830,161,8065,1
381,24,9408,1,1164,161,7947,1
382,15,9903,1,1696,161,12193,1
383,23,12799,1,742,161,7921,1
384,19,9601,1,1371,161,979,1
385,19,10569,1,1764,161,13046,1
386,19,11294,1,192,161,13104,1
387,19,9370,1,741,161,63,1
388,27,10836,1,551,161,13585,1
389,19,13090,1,742,161,198,1
390,20,13105,1,2157,161,1091,1
391,20,9514,1,1049,161,14310,1
392,4,9844,1,546,161,10860,1
393,19,9654,1,676,161,14392,1
394,19,9332,1,1911,161,138,1
395,19,9415,2,429,161,63,1
396,19,10799,1,636,161,14855,1
397,4,9084,1,2506,161,14857,1
398,19,9265,1,676,161,14954,1
399,19,9083,1,1450,161,2136,1
400,19,13265,1,1970,161,683,1
401,4,10172,2,281,161,4582,1
402,12,11318,1,2327,161,15629,1
403,31,11003,1,2959,161,15673,1
404,12,10728,1,399,161,3129,1
405,12,10728,3,2390,161,2914,1
406,6,10721,1,1519,161,16427,1
407,6,10760,1,813,161,16474,1
408,15,10924,1,742,161,16488,1
409,6,12313,2,701,161,16536,1
410,6,13467,2,2910,161,16549,1
411,6,9124,1,1266,161,42,1
412,15,11216,1,2778,161,726,1
413,15,11216,1,853,161,11458,1
414,6,12329,1,707,161,3635,1
415,6,9763,1,1330,161,16612,1
416,15,11216,1,2535,161,1360,1
417,6,10263,1,1755,161,16673,1
418,6,11189,3,1194,161,3535,1
419,6,13491,1,1755,161,3491,1
420,6,13498,1,165,161,3844,1
421,6,10210,1,1049,161,16754,1
422,6,13500,1,2661,161,16763,1
423,6,10784,1,1626,161,16774,1
424,6,10655,1,2175,161,17012,1
425,7,11175,1,899,161,17111,1
426,7,13564,1,113,161,17179,1
427,7,11175,2,899,161,17198,1
428,7,11175,1,2477,161,17222,1
429,7,11175,1,613,161,17269,1
430,6,13582,1,2683,161,5288,1
431,19,13628,1,429,161,17686,1
432,10,10836,1,2772,161,17732,1
433,19,10636,1,899,161,6036,1
434,18,11321,1,1696,161,17873,1
435,18,9728,1,1619,161,3552,1
436,19,9728,1,710,161,17962,1
437,19,13628,1,1916,161,2430,1
438,19,13628,1,429,161,18003,1
439,4,9477,1,1696,161,18233,1
440,19,9728,1,710,161,4619,1
441,18,10656,1,2245,161,4454,1
442,10,10425,1,1672,161,18488,1
443,18,10656,1,1696,161,18584,1
444,18,10656,1,636,161,7440,1
445,19,13628,1,1916,161,4636,1
446,19,13628,1,429,161,17686,1
447,16,11722,1,2358,161,18744,1
448,14,9728,2,1619,161,18827,1
449,16,11722,1,2358,161,6780,1
450,14,13848,1,1626,161,19466,1
451,18,10656,1,742,161,19719,1
452,18,10656,1,1696,161,5664,1
453,18,11321,1,1696,161,19754,1
454,18,10656,1,1696,161,5664,1
455,18,9550,1,991,161,379,1
456,5,12140,1,380,161,9448,1
457,5,12140,1,1011,161,9448,1
458,5,12140,1,1174,161,9448,1
459,5,12140,1,948,161,9448,1
460,9,12530,1,1113,161,18039,1
461,9,9099,1,656,161,10224,1
462,9,14075,1,1696,161,16226,1
463,9,12530,1,1113,161,18039,1
464,9,12436,1,2126,161,21299,1
465,9,9378,1,2751,161,8202,1
466,9,9099,1,2944,161,10224,1
467,9,9262,1,2537,161,21358,1
468,9,9425,1,1519,161,21384,1
469,9,9530,1,1764,161,10678,1
470,9,12449,1,2174,161,8564,1
471,9,10660,1,2793,161,21416,1
472,9,14075,1,1696,161,16226,1
473,9,9378,1,2751,161,21432,1
474,9,14103,1,2378,161,21434,1
475,9,10480,1,1696,161,21485,1
476,9,9099,1,711,161,10224,1
477,9,12449,1,2174,161,8564,1
478,9,9262,1,2537,161,21358,1
479,32,12432,3,2358,161,10357,1
480,9,9378,1,2751,161,21432,1
481,9,9099,1,1597,161,10224,1
482,15,9903,1,1696,161,12193,1
483,6,12546,3,742,161,10790,1
484,6,12546,3,551,161,10790,1
485,15,9903,1,1764,161,21876,1
486,15,12590,1,1764,161,21942,1
487,23,9303,1,991,161,21977,1
488,6,12533,3,2065,161,10736,1
489,6,12533,3,1011,161,10736,1
490,23,14189,2,2793,161,16772,1
491,23,14189,2,2793,161,22158,1
492,23,14189,2,2793,161,22158,1
493,6,10655,1,2810,161,22240,1
494,6,12533,3,2167,161,10736,1
495,23,14189,2,2793,161,16772,1
496,6,12533,3,742,161,22440,1
497,23,14208,3,2534,161,22441,1
498,24,13302,1,1802,161,22502,1
499,6,12533,3,555,161,10736,1
500,23,9284,1,1195,162,1874,1
501,13,10584,1,2491,162,2892,1
502,12,10781,1,776,162,3749,1
503,15,10924,1,2397,162,4128,1
504,18,10944,1,1080,162,1302,1
505,12,10010,1,1696,162,5034,1
506,18,11321,1,741,162,2087,1
507,18,10672,1,1968,162,4079,1
508,6,11392,3,1371,162,5748,1
509,16,11701,1,1626,162,7340,1
510,10,11392,3,1372,162,7629,1
511,16,10258,1,285,162,7675,1
512,17,12279,1,1755,162,9587,1
513,9,12395,1,1890,162,10226,1
514,9,9515,1,2779,162,3088,1
515,33,12434,2,429,162,10365,1
516,9,12395,1,2358,162,10541,1
517,9,12395,1,2477,162,10731,1
518,32,12536,1,2074,162,10747,1
519,9,12395,1,2433,162,10331,1
520,9,12395,1,1061,162,10541,1
521,9,12395,1,2167,162,10963,1
522,23,12844,1,2875,162,12533,1
523,19,9056,3,1275,162,63,1
524,26,12074,1,676,162,6775,1
525,20,9297,1,500,162,976,1
526,20,9201,1,2112,162,13844,1
527,19,13131,1,1965,162,14176,1
528,20,12966,1,1410,162,293,1
529,19,13159,2,2209,162,1255,1
530,19,9332,1,1735,162,1200,1
531,4,9084,1,1049,162,14504,1
532,19,9747,1,2713,162,63,1
533,19,9747,1,2713,162,63,1
534,13,10047,1,741,162,15232,1
535,31,10295,1,1245,162,883,1
536,6,10723,2,2961,162,3497,1
537,10,9084,1,513,162,10746,1
538,18,13920,1,478,162,4124,1
539,5,10253,1,2793,162,20109,1
540,9,9880,1,676,162,669,1
541,9,9871,1,991,162,10944,1
542,9,9655,1,2167,162,10785,1
543,32,12536,1,2074,162,10747,1
544,9,9315,1,1183,162,21406,1
545,33,9124,1,1989,162,10257,1
546,9,12382,1,2541,162,10707,1
547,33,9124,3,1777,162,10257,1
548,9,12382,1,1371,162,21473,1
549,32,9698,1,1840,162,7611,1
550,9,9320,1,2167,162,21486,1
551,9,12382,1,2541,162,850,1
552,9,10593,1,2793,162,9178,1
553,9,12563,2,1696,162,21575,1
554,23,12844,1,2875,162,12533,1
555,24,9903,1,1764,162,22006,1
556,23,14212,1,2023,162,22478,1
557,23,14218,3,2167,162,22516,1
558,4,9388,3,1654,163,453,1
559,7,11105,1,2379,163,4639,1
560,12,11206,1,2888,163,717,1
561,12,11275,1,775,163,5271,1
562,7,9559,1,2065,163,3847,1
563,10,11635,1,1619,163,6940,1
564,16,11564,1,2798,163,7730,1
565,32,12385,1,1982,163,10191,1
566,32,12413,2,1696,163,10378,1
567,32,9474,3,2875,163,10501,1
568,32,9784,1,1856,163,7749,1
569,32,12559,1,1764,163,232,1
570,32,12267,3,2765,163,10931,1
571,9,12382,1,642,163,10944,1
572,32,12396,1,1755,163,10946,1
573,9,12580,1,908,163,10973,1
574,32,9530,3,2544,163,453,1
575,23,12673,1,2907,163,8588,1
576,19,11435,1,2405,163,944,1
577,27,12878,1,1049,163,12683,1
578,19,9260,1,513,163,12820,1
579,19,10048,3,1696,163,63,1
580,27,10836,1,2456,163,12864,1
581,19,11089,1,94,163,13286,1
582,19,9716,1,484,163,1054,1
583,19,10057,3,1302,163,14299,1
584,27,12878,1,1049,163,14460,1
585,27,10836,1,2339,163,14572,1
586,26,13224,1,929,163,3320,1
587,19,9929,3,2751,163,138,1
588,4,9388,3,1654,163,453,1
589,19,10906,1,429,163,15117,1
590,19,12531,3,991,163,1076,1
591,19,9504,1,2793,163,483,1
592,19,13126,1,2559,163,31,1
593,4,10310,3,831,163,2190,1
594,13,13302,1,1735,163,15433,1
595,13,9880,1,676,163,669,1
596,13,13302,1,1735,163,15750,1
597,12,9061,1,772,163,1211,1
598,13,9518,1,2023,163,42,1
599,13,9516,1,1626,163,16028,1
600,13,13406,1,742,163,16154,1
601,13,11968,1,2559,163,16317,1
602,6,10952,1,1444,163,4202,1
603,6,10952,1,2801,163,4202,1
604,6,10723,1,1146,163,4760,1
605,6,10952,1,1444,163,17162,1
606,6,10952,1,551,163,17173,1
607,6,10723,1,1146,163,3497,1
608,6,10952,2,551,163,17317,1
609,6,10952,2,1444,163,17317,1
610,4,9747,1,2358,163,196,1
611,5,9747,1,1386,163,1738,1
612,5,9747,1,1735,163,1738,1
613,5,10581,1,1296,163,20190,1
614,5,10581,1,772,163,20190,1
615,5,10581,1,1489,163,20190,1
616,5,10581,1,877,163,20190,1
617,8,13890,1,1626,163,20358,1
618,8,11035,1,350,163,20534,1
619,8,13890,1,1626,163,9568,1
620,34,11250,1,1212,163,21263,1
621,34,14099,1,194,163,21460,1
622,32,12413,2,1696,163,10378,1
623,23,13708,1,2793,163,4600,1
624,23,12673,1,2907,163,21952,1
625,23,9078,1,2134,163,4619,1
626,23,12625,1,1696,163,22039,1
627,23,12673,1,2907,163,8588,1
628,6,12674,1,2397,163,22363,1
629,23,14217,1,2397,163,22511,1
630,20,13249,1,1735,164,262,1
631,6,10723,1,2405,164,16846,1
632,6,10723,1,1973,164,16846,1
633,6,10723,1,1973,164,17216,1
634,8,13890,1,1626,164,503,1
635,9,10478,1,551,164,21579,1
636,23,12587,1,1916,165,233,1
637,13,10528,1,429,165,15584,1
638,9,10478,1,2925,165,10283,1
639,4,9154,3,2397,166,115,1
640,22,9183,1,1632,166,752,1
641,1,9376,3,1765,166,2447,1
642,31,9205,1,2452,166,80,1
643,13,9503,1,614,166,375,1
644,13,9192,1,1764,166,3329,1
645,15,11059,1,701,166,4503,1
646,4,11117,1,2218,166,4692,1
647,12,10635,1,2484,166,4736,1
648,19,11576,1,1842,166,6617,1
649,19,10767,1,555,166,4028,1
650,32,12406,2,1532,166,3635,1
651,9,11706,1,877,166,10308,1
652,32,9102,1,1532,166,10451,1
653,32,11560,3,2806,166,10465,1
654,9,10130,1,701,166,10576,1
655,6,10655,1,2637,166,10766,1
656,9,12548,1,1626,166,10796,1
657,32,10132,3,2734,166,10820,1
658,15,9400,1,2795,166,4709,1
659,15,10411,1,1696,166,11656,1
660,24,11858,1,1842,166,7919,1
661,15,10903,1,1696,166,12311,1
662,6,10655,1,2637,166,10766,1
663,20,10177,1,732,166,947,1
664,13,13309,1,555,166,15457,1
665,13,9167,1,2793,166,15648,1
666,13,9365,1,2531,166,15851,1
667,13,13384,1,2902,166,689,1
668,13,11915,1,2358,166,1799,1
669,31,9205,1,2452,166,80,1
670,13,10379,1,1982,166,16351,1
671,15,13475,1,1316,166,12997,1
672,19,10660,1,1340,166,17755,1
673,24,14142,1,1727,166,21706,1
674,24,14142,1,1727,166,21832,1
675,23,12676,1,2378,166,21897,1
676,24,9072,1,2023,166,22071,1
677,24,9115,1,2975,166,22215,1
678,24,10047,1,1696,166,2542,1
679,6,10655,1,2637,166,10766,1
680,6,10655,1,2637,166,10766,1
681,1,9096,1,388,167,117,1
682,1,9096,1,307,167,414,1
683,1,9096,1,2537,167,414,1
684,1,9096,1,2537,167,48,1
685,13,9391,1,830,167,3069,1
686,19,11421,1,429,167,5845,1
687,16,9549,1,2607,167,177,1
688,14,9195,1,911,167,8559,1
689,5,12091,1,2439,167,147,1
690,17,12279,1,1755,167,10075,1
691,9,9530,1,1450,167,10262,1
692,9,9132,1,1982,167,300,1
693,32,12432,2,2397,167,10357,1
694,9,12436,1,555,167,10377,1
695,32,12450,1,683,167,10443,1
696,35,12473,1,2751,167,10510,1
697,9,10298,1,1430,167,10542,1
698,9,9132,3,1982,167,10553,1
699,32,11226,1,2825,167,453,1
700,9,11203,1,1696,167,10984,1
701,23,12616,1,2722,167,5724,1
702,15,11797,1,1696,167,4472,1
703,4,10137,1,933,167,11785,1
704,15,9219,2,813,167,1449,1
705,15,12606,1,742,167,11879,1
706,15,12792,1,2793,167,12167,1
707,15,10451,3,742,167,12210,1
708,27,10836,1,1696,167,14202,1
709,26,13060,1,742,167,8885,1
710,7,10733,1,1450,167,3847,1
711,6,10952,1,551,167,4993,1
712,6,10952,2,551,167,17343,1
713,6,9142,1,2742,167,3774,1
714,16,11736,1,2722,167,18861,1
715,34,14079,1,2397,167,21300,1
716,9,9378,1,2751,167,21405,1
717,24,11205,1,1315,167,21649,1
718,24,9741,1,966,167,3675,1
719,4,10137,1,933,167,11785,1
720,24,9364,1,876,167,12311,1
721,23,12616,1,2722,167,5724,1
722,6,10655,1,2930,167,22105,1
723,1,9747,1,2793,167,22114,1
724,23,12644,1,1011,167,22209,1
725,6,10057,1,1965,167,22219,1
726,24,10105,1,1489,167,4506,1
727,1,9859,1,1828,168,1364,1
728,4,10365,1,939,168,2827,1
729,15,10718,1,703,168,4057,1
730,7,10989,1,1102,168,4310,1
731,15,9588,1,429,168,3652,1
732,7,10989,1,1570,168,4954,1
733,15,10718,1,569,168,4057,1
734,4,10785,1,2465,168,5309,1
735,16,9111,1,370,168,7325,1
736,14,9096,1,1696,168,8574,1
737,9,12400,1,676,168,10242,1
738,33,11195,1,1696,168,10243,1
739,9,12412,1,866,168,1470,1
740,33,12384,1,1982,168,10298,1
741,33,12396,1,2003,168,10379,1
742,9,11203,1,742,168,10406,1
743,33,12397,3,1450,168,10449,1
744,9,10298,1,68,168,7142,1
745,33,12387,1,922,168,10182,1
746,33,12387,1,1626,168,10182,1
747,9,9871,1,1696,168,1738,1
748,9,9871,1,1194,168,10259,1
749,9,9871,1,2794,168,10259,1
750,33,12387,1,2709,168,10182,1
